Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Temp9am,Temp3pm,RainToday,Year,Month,DayOfMonth,DayOfWeek,Month_sin,Month_cos,Season,lag1_Rainfall,lag1_Humidity3pm,roll3_Rainfall,TempRange,LocationCluster
Hobart,14.7,26.5,0.0,SSW,46.0,ESE,SE,13.0,17.0,64.0,38.0,1013.1,1009.7,6.0,19.9,23.9,No,2015,12,31,3,-2.4492935982947064e-16,1.0,Summer,0.0,60.0,0.06666666666666667,11.8,C1
Williamtown,17.4,34.3,4.2,WNW,39.0,NW,W,15.0,9.0,62.0,32.0,1012.4,1009.2,4.0,23.7,33.4,Yes,2009,12,22,1,-2.4492935982947064e-16,1.0,Summer,0.0,55.0,0.7999999999999999,16.9,C1
Moree,18.6,33.2,0.0,NNE,48.0,NNE,N,31.0,11.0,53.0,26.0,1020.5,1017.2,2.0,23.1,31.0,No,2016,12,11,6,-2.4492935982947064e-16,1.0,Summer,0.0,24.0,1.266666666666669,14.600000000000001,C2
SydneyAirport,20.0,32.4,29.0,NE,52.0,NW,ENE,15.0,26.0,70.0,47.0,1014.6,1010.7,5.0,25.6,31.3,Yes,2011,11,9,2,-0.5000000000000004,0.8660254037844384,Spring,1.8,52.0,0.6,12.399999999999999,C1
Sale,8.2,31.3,0.0,S,43.0,NW,WSW,7.0,13.0,75.0,25.0,1010.0,1006.7,2.0,18.4,31.0,No,2013,11,19,1,-0.5000000000000004,0.8660254037844384,Spring,0.0,48.0,0.26666666666666433,23.1,C1
Walpole,12.0,21.4,0.0,NW,31.0,NW,NW,0.0,7.0,95.0,70.0,1020.6,1018.6,5.0,14.1,20.8,No,2017,5,31,2,0.49999999999999994,-0.8660254037844387,Autumn,0.0,61.0,0.400000000000005,9.399999999999999,C3
PearceRAAF,10.8,16.7,2.8,WSW,85.0,WSW,WSW,35.0,43.0,87.0,55.0,1004.6,1006.7,8.0,14.7,13.8,Yes,2016,10,1,5,-0.8660254037844386,0.5000000000000001,Spring,0.0,60.0,3.066666666666665,5.899999999999999,C2
Penrith,8.7,24.9,0.4,WSW,22.0,ENE,W,2.0,4.0,78.0,50.0,1017.6,1015.2,5.0,15.9,23.2,No,2013,4,23,1,0.8660254037844387,-0.49999999999999983,Autumn,0.8,37.0,6.400000000000001,16.2,C0
Cairns,20.2,26.5,1.8,E,39.0,SSE,E,15.0,20.0,81.0,84.0,1017.8,1015.4,6.0,23.3,22.9,Yes,2010,7,13,1,-0.4999999999999998,-0.8660254037844388,Winter,2.8,71.0,0.9333333333333357,6.300000000000001,C4
MountGambier,7.0,26.5,0.0,S,31.0,E,E,17.0,13.0,81.0,38.0,1028.6,1024.6,1.0,12.9,25.3,No,2013,4,5,4,0.8660254037844387,-0.49999999999999983,Autumn,0.0,43.0,1.2,19.5,C3
Launceston,13.4,27.7,0.0,NW,35.0,NW,WNW,11.0,17.0,74.0,46.0,1013.7,1008.2,8.0,17.4,26.4,No,2013,1,21,0,0.49999999999999994,0.8660254037844387,Summer,0.0,41.0,0.0,14.299999999999999,C0
PearceRAAF,5.7,17.0,0.0,E,43.0,NNE,S,13.0,11.0,89.0,61.0,1027.3,1027.3,6.0,10.2,16.0,No,2015,7,10,4,-0.4999999999999998,-0.8660254037844388,Winter,0.0,52.0,5.399999999999997,11.3,C2
Ballarat,7.8,19.7,0.4,SSE,43.0,S,S,22.0,24.0,100.0,46.0,1017.1,1016.1,7.0,10.3,18.0,No,2015,11,13,4,-0.5000000000000004,0.8660254037844384,Spring,0.0,30.0,0.40000000000000474,11.899999999999999,C1
Townsville,25.6,34.2,11.4,WSW,46.0,W,W,19.0,15.0,65.0,47.0,998.3,995.4,7.0,28.7,33.5,Yes,2013,1,25,4,0.49999999999999994,0.8660254037844387,Summer,144.2,95.0,71.93333333333334,8.600000000000001,C4
PearceRAAF,7.0,23.0,0.0,W,41.0,N,W,4.0,31.0,84.0,48.0,1018.2,1015.4,4.0,14.3,21.7,No,2013,8,4,6,-0.8660254037844384,-0.5000000000000004,Winter,0.0,54.0,4.3500000000000005,16.0,C2
NorahHead,10.8,15.7,0.0,SSW,48.0,SW,S,20.0,37.0,41.0,47.0,1018.7,1019.7,5.0,13.2,15.3,No,2013,8,15,3,-0.8660254037844384,-0.5000000000000004,Winter,0.0,38.0,0.0,4.899999999999999,C1
Albury,3.0,20.1,0.0,SSW,20.0,WSW,ENE,4.0,6.0,68.0,34.0,1034.1,1031.0,8.0,10.0,19.0,No,2012,4,11,2,0.8660254037844387,-0.49999999999999983,Autumn,0.0,37.0,0.0,17.1,C0
Perth,3.7,18.9,0.0,E,24.0,E,E,0.0,9.0,85.0,46.0,1024.5,1022.5,7.0,10.0,18.5,No,2015,5,28,3,0.49999999999999994,-0.8660254037844387,Autumn,0.0,48.0,0.0,15.2,C0
Darwin,25.0,32.4,23.8,WSW,41.0,W,WSW,26.0,28.0,74.0,66.0,1006.7,1003.7,7.0,31.0,31.8,Yes,2010,1,8,4,0.49999999999999994,0.8660254037844387,Summer,19.4,79.0,36.666666666666664,7.399999999999999,C4
MountGambier,8.8,10.8,3.0,NW,41.0,N,NNW,22.0,20.0,87.0,89.0,997.3,998.2,7.0,9.7,9.0,Yes,2012,8,23,3,-0.8660254037844384,-0.5000000000000004,Winter,1.4,49.0,1.3333333333333333,2.0,C3
GoldCoast,21.2,24.5,0.0,E,37.0,ENE,E,26.0,26.0,67.0,72.0,1023.6,1021.3,5.0,24.2,22.0,No,2009,10,28,2,-0.8660254037844386,0.5000000000000001,Spring,4.4,64.0,1.4666666666666692,3.3000000000000007,C1
Darwin,23.7,32.1,0.0,N,41.0,NE,N,13.0,30.0,64.0,51.0,1014.4,1010.3,2.0,28.5,30.7,No,2009,9,17,3,-1.0,-1.8369701987210297e-16,Spring,0.0,57.0,0.0,8.400000000000002,C4
Adelaide,10.4,24.1,0.0,WSW,24.0,ENE,WSW,6.0,13.0,59.0,48.0,1027.8,1024.2,5.0,17.9,22.7,No,2016,4,13,2,0.8660254037844387,-0.49999999999999983,Autumn,0.0,53.0,0.13333333333333217,13.700000000000001,C0
AliceSprings,8.0,30.0,0.0,NW,54.0,N,NNW,19.0,24.0,31.0,28.0,1013.8,1007.5,1.0,19.8,27.6,No,2016,9,23,4,-1.0,-1.8369701987210297e-16,Spring,0.0,17.0,6.533333333333334,22.0,C2
Mildura,17.0,29.3,0.0,SSW,46.0,SSW,SW,17.0,20.0,63.0,37.0,1009.5,1008.6,6.0,19.5,26.6,No,2017,1,1,6,0.49999999999999994,0.8660254037844387,Summer,0.0,30.0,0.0,12.3,C2
Perth,5.3,17.2,0.0,WSW,26.0,SSE,SSW,2.0,13.0,71.0,56.0,1023.4,1020.7,7.0,12.3,16.3,No,2016,9,2,4,-1.0,-1.8369701987210297e-16,Spring,1.6,54.0,3.7999999999999954,11.899999999999999,C0
Moree,25.0,38.6,0.0,SSW,52.0,NNE,WNW,19.0,26.0,48.0,23.0,1009.7,1006.1,1.0,28.1,37.5,No,2011,3,1,1,1.0,6.123233995736766e-17,Autumn,0.0,23.0,0.0,13.600000000000001,C2
Portland,5.0,16.8,0.0,N,22.0,N,NE,13.0,9.0,88.0,62.0,1027.9,1023.1,7.0,7.6,16.4,No,2015,5,26,1,0.49999999999999994,-0.8660254037844387,Autumn,0.0,55.0,0.06666666666666549,11.8,C3
MelbourneAirport,14.4,28.0,0.0,N,74.0,N,N,33.0,44.0,63.0,45.0,1014.6,1009.1,7.0,22.6,26.8,No,2012,4,6,4,0.8660254037844387,-0.49999999999999983,Autumn,0.0,46.0,0.0,13.6,C1
Newcastle,18.0,27.7,12.0,W,39.0,SE,SE,9.0,28.0,73.0,60.0,1017.6,1015.2,6.0,23.5,25.0,Yes,2013,12,26,3,-2.4492935982947064e-16,1.0,Summer,0.0,58.0,1.4666666666666668,9.7,C0
Williamtown,9.2,20.0,0.0,NW,33.0,WNW,W,24.0,7.0,61.0,54.0,1024.4,1023.0,1.0,13.6,19.5,No,2014,6,4,2,1.2246467991473532e-16,-1.0,Winter,0.0,46.0,1.1,10.8,C1
Woomera,17.8,35.5,0.0,NE,54.0,ESE,ENE,22.0,24.0,28.0,23.0,1014.6,1010.9,0.0,22.4,34.3,No,2011,3,6,6,1.0,6.123233995736766e-17,Autumn,0.0,13.0,0.0,17.7,C2
SalmonGums,6.2,15.8,0.6,W,57.0,W,W,28.0,31.0,59.0,34.0,1017.6,1015.2,5.0,9.8,13.5,No,2009,9,2,2,-1.0,-1.8369701987210297e-16,Spring,0.0,32.0,0.0,9.600000000000001,C2
Brisbane,19.3,29.8,0.0,NNE,37.0,NNE,NNE,11.0,15.0,52.0,51.0,1017.3,1012.4,1.0,26.8,28.4,No,2009,12,5,5,-2.4492935982947064e-16,1.0,Summer,0.0,45.0,2.1999999999999997,10.5,C0
Tuggeranong,6.1,21.5,1.2,NW,24.0,SW,WNW,7.0,11.0,58.0,50.0,1014.7,1013.4,5.0,12.5,20.7,Yes,2016,11,15,1,-0.5000000000000004,0.8660254037844384,Spring,13.4,47.0,9.466666666666654,15.4,C0
Katherine,20.5,38.0,0.0,N,26.0,N,N,17.0,9.0,53.0,39.0,1012.1,1007.3,0.0,30.7,33.8,No,2016,10,16,6,-0.8660254037844386,0.5000000000000001,Spring,0.0,38.0,0.0,17.5,C4
Williamtown,15.6,25.5,0.0,S,46.0,WNW,SSE,17.0,31.0,62.0,57.0,1016.5,1015.7,2.0,22.0,24.1,No,2014,11,18,1,-0.5000000000000004,0.8660254037844384,Spring,0.8,39.0,0.8,9.9,C1
Cairns,22.8,32.9,0.0,SE,37.0,SSE,ESE,20.0,20.0,59.0,49.0,1007.6,1004.7,1.0,29.0,32.8,No,2011,12,22,3,-2.4492935982947064e-16,1.0,Summer,0.0,52.0,2.6666666666666665,10.099999999999998,C4
Williamtown,14.7,20.9,1.8,ESE,44.0,ESE,ESE,28.0,28.0,67.0,64.0,1027.4,1026.2,7.0,17.5,19.4,Yes,2009,10,27,1,-0.8660254037844386,0.5000000000000001,Spring,10.4,78.0,4.266666666666667,6.199999999999999,C1
Cobar,6.5,20.4,0.0,SE,20.0,SE,S,2.0,6.0,64.0,32.0,1028.7,1026.5,3.0,10.1,18.7,No,2011,6,27,0,1.2246467991473532e-16,-1.0,Winter,0.0,30.0,0.0,13.899999999999999,C2
Penrith,9.1,20.9,10.0,NNE,17.0,N,ESE,2.0,2.0,89.0,42.0,1017.6,1015.2,5.0,11.7,20.1,Yes,2014,8,24,6,-0.8660254037844384,-0.5000000000000004,Winter,0.4,86.0,0.20000000000000004,11.799999999999999,C0
Albany,13.0,17.1,1.2,W,39.0,NW,WSW,2.0,19.0,88.0,67.0,1025.4,1024.4,7.0,14.2,18.5,Yes,2017,6,15,3,1.2246467991473532e-16,-1.0,Winter,0.0,67.0,0.0,6.5,C1
Perth,5.8,18.8,0.0,E,31.0,E,ESE,13.0,13.0,69.0,49.0,1026.6,1024.7,1.0,12.3,17.3,No,2011,6,7,1,1.2246467991473532e-16,-1.0,Winter,0.0,43.0,0.0,13.0,C0
PerthAirport,13.0,20.6,0.0,NNE,43.0,NNE,NE,28.0,13.0,41.0,45.0,1023.8,1020.3,7.0,17.1,19.7,No,2014,6,7,5,1.2246467991473532e-16,-1.0,Winter,0.0,32.0,0.0,7.600000000000001,C2
Walpole,10.2,16.3,6.6,NW,28.0,WNW,WSW,9.0,11.0,99.0,71.0,1025.1,1023.3,5.0,12.3,15.6,Yes,2009,6,7,6,1.2246467991473532e-16,-1.0,Winter,4.4,73.0,15.866666666666667,6.100000000000001,C3
Portland,10.3,17.6,0.8,ESE,35.0,SSE,SSE,17.0,19.0,77.0,52.0,1024.9,1024.3,6.0,13.8,16.5,No,2010,4,2,4,0.8660254037844387,-0.49999999999999983,Autumn,0.0,53.0,0.0,7.300000000000001,C3
Canberra,-1.7,15.2,0.0,NW,39.0,W,NNW,2.0,26.0,82.0,46.0,1022.4,1017.9,1.0,7.3,14.5,No,2010,9,12,6,-1.0,-1.8369701987210297e-16,Spring,1.2,40.0,1.9999999999999953,16.9,C0
Darwin,14.7,28.2,0.0,E,43.0,E,NE,22.0,13.0,51.0,27.0,1015.0,1011.0,0.0,20.2,27.8,No,2012,6,7,3,1.2246467991473532e-16,-1.0,Winter,0.0,22.0,0.0,13.5,C4
Launceston,7.1,22.3,0.2,ESE,20.0,NNW,NNW,0.0,9.0,95.0,55.0,1020.1,1019.6,8.0,11.7,22.1,No,2009,4,18,5,0.8660254037844387,-0.49999999999999983,Autumn,15.6,67.0,8.6,15.200000000000001,C0
Wollongong,20.1,24.2,0.0,SSE,59.0,SE,SSE,2.0,48.0,81.0,91.0,1010.0,1012.1,8.0,21.8,19.0,No,2009,12,25,4,-2.4492935982947064e-16,1.0,Summer,1.0,79.0,0.3333333333333333,4.099999999999998,C1
Adelaide,20.4,33.1,0.0,ESE,41.0,E,WSW,13.0,17.0,24.0,16.0,1019.4,1016.7,5.0,25.2,32.4,No,2009,3,31,1,1.0,6.123233995736766e-17,Autumn,0.0,18.0,0.0,12.700000000000003,C0
Cairns,23.7,31.3,0.0,ENE,26.0,NE,NE,6.0,13.0,65.0,72.0,1009.5,1006.8,2.0,30.7,29.5,No,2010,12,16,3,-2.4492935982947064e-16,1.0,Summer,7.6,66.0,17.46666666666667,7.600000000000001,C4
NorfolkIsland,17.3,22.1,18.2,WNW,50.0,WNW,W,20.0,20.0,68.0,73.0,1013.0,1010.8,2.0,20.5,20.7,Yes,2013,5,18,5,0.49999999999999994,-0.8660254037844387,Autumn,3.6,93.0,1.3333333333333381,4.800000000000001,C3
NorfolkIsland,19.7,25.2,0.0,ENE,41.0,ENE,ENE,30.0,28.0,61.0,67.0,1022.6,1021.5,1.0,24.2,24.1,No,2015,12,1,1,-2.4492935982947064e-16,1.0,Summer,0.0,71.0,4.200000000000007,5.5,C3
MountGinini,4.4,11.5,0.0,NW,24.0,NW,WNW,7.0,6.0,95.0,84.0,1017.6,1015.2,5.0,7.3,10.7,No,2015,4,14,1,0.8660254037844387,-0.49999999999999983,Autumn,1.8,71.0,0.6000000000000071,7.1,C1
Portland,11.0,17.3,1.2,WNW,43.0,WSW,WSW,19.0,24.0,74.0,67.0,1012.5,1013.0,6.0,14.3,14.9,Yes,2011,11,22,1,-0.5000000000000004,0.8660254037844384,Spring,0.4,59.0,2.8666666666666667,6.300000000000001,C3
Adelaide,9.5,25.5,0.0,SW,26.0,S,WSW,2.0,15.0,61.0,28.0,1025.1,1020.5,5.0,15.5,24.8,No,2008,10,16,3,-0.8660254037844386,0.5000000000000001,Spring,0.0,49.0,0.0,16.0,C0
PearceRAAF,15.1,35.2,0.0,WSW,44.0,ESE,SW,6.0,28.0,40.0,31.0,1009.6,1007.1,2.0,26.0,31.1,No,2011,3,10,3,1.0,6.123233995736766e-17,Autumn,0.0,23.0,0.0,20.1,C2
WaggaWagga,17.1,27.7,1.2,SE,43.0,SW,E,6.0,13.0,75.0,47.0,1013.9,1011.9,7.0,20.5,25.0,Yes,2016,1,6,2,0.49999999999999994,0.8660254037844387,Summer,2.2,82.0,0.8666666666666619,10.599999999999998,C0
Perth,10.4,14.8,17.4,WSW,46.0,SSE,SSE,13.0,15.0,79.0,49.0,1017.4,1017.1,7.0,10.5,14.5,Yes,2009,6,21,6,1.2246467991473532e-16,-1.0,Winter,8.0,63.0,7.3999999999999995,4.4,C0
MountGambier,5.0,17.7,0.0,N,19.0,NE,N,9.0,9.0,82.0,53.0,1030.3,1027.5,1.0,9.9,17.1,No,2015,5,25,0,0.49999999999999994,-0.8660254037844387,Autumn,0.0,68.0,0.19999999999999526,12.7,C3
Perth,9.1,20.0,0.4,W,39.0,NE,NW,7.0,17.0,76.0,57.0,1012.4,1009.1,1.0,15.2,18.1,No,2013,8,29,3,-0.8660254037844384,-0.5000000000000004,Winter,27.0,59.0,13.26666666666666,10.9,C0
Sale,18.7,29.6,13.6,W,30.0,WSW,ESE,13.0,20.0,91.0,68.0,1017.2,1015.1,8.0,21.4,27.3,Yes,2016,3,11,4,1.0,6.123233995736766e-17,Autumn,3.2,85.0,1.0666666666666644,10.900000000000002,C1
MelbourneAirport,7.5,19.4,0.0,S,33.0,SSE,SSE,20.0,13.0,65.0,50.0,1022.4,1020.5,6.0,12.8,18.0,No,2011,10,26,2,-0.8660254037844386,0.5000000000000001,Spring,5.2,65.0,4.666666666666666,11.899999999999999,C1
Darwin,26.7,34.9,0.0,N,41.0,E,N,9.0,24.0,65.0,47.0,1012.5,1007.6,7.0,30.4,34.4,No,2012,11,1,3,-0.5000000000000004,0.8660254037844384,Spring,0.0,55.0,1.0666666666666762,8.2,C4
PerthAirport,18.7,36.9,0.0,E,63.0,ENE,ENE,28.0,13.0,33.0,19.0,1013.8,1009.4,1.0,25.4,35.8,No,2012,1,18,2,0.49999999999999994,0.8660254037844387,Summer,0.0,21.0,0.0,18.2,C2
Uluru,14.0,32.8,0.0,W,30.0,E,WNW,15.0,17.0,35.0,15.0,1016.1,1011.6,7.0,21.1,32.1,No,2016,4,18,0,0.8660254037844387,-0.49999999999999983,Autumn,0.0,23.0,0.0,18.799999999999997,C2
NorfolkIsland,17.9,20.8,0.0,NNW,59.0,NNW,NW,30.0,22.0,89.0,92.0,1013.7,1010.1,7.0,20.1,19.7,No,2016,8,25,3,-0.8660254037844384,-0.5000000000000004,Winter,0.0,70.0,1.7000000000000133,2.900000000000002,C3
Watsonia,10.4,24.4,0.0,WSW,33.0,SSE,WSW,6.0,22.0,77.0,47.0,1015.0,1011.9,7.0,15.3,23.6,No,2010,1,25,0,0.49999999999999994,0.8660254037844387,Summer,1.0,49.0,0.39999999999999997,13.999999999999998,C0
Mildura,8.7,22.8,0.0,SSE,20.0,SSE,S,15.0,7.0,70.0,30.0,1018.0,1014.5,2.0,13.6,21.6,No,2014,4,23,2,0.8660254037844387,-0.49999999999999983,Autumn,0.0,47.0,0.0,14.100000000000001,C2
MountGinini,-1.8,-0.5,1.8,W,56.0,W,WSW,19.0,22.0,97.0,97.0,1017.6,1015.2,5.0,-1.3,-1.1,Yes,2014,7,5,5,-0.4999999999999998,-0.8660254037844388,Winter,0.0,94.0,0.06666666666667377,1.3,C1
Mildura,13.9,23.7,1.6,W,65.0,WNW,NW,28.0,31.0,50.0,31.0,1007.4,1004.0,1.0,18.5,21.9,Yes,2009,11,28,5,-0.5000000000000004,0.8660254037844384,Spring,13.2,29.0,6.933333333333333,9.799999999999999,C2
SydneyAirport,15.3,33.5,0.0,NW,41.0,N,NW,20.0,20.0,26.0,14.0,1014.2,1010.7,2.0,25.1,32.1,No,2014,9,29,0,-1.0,-1.8369701987210297e-16,Spring,0.0,44.0,1.5999999999999988,18.2,C1
PearceRAAF,3.6,20.9,0.0,N,22.0,SSW,WSW,7.0,13.0,91.0,45.0,1021.0,1018.4,4.0,9.5,20.1,No,2010,6,2,2,1.2246467991473532e-16,-1.0,Winter,0.0,48.0,0.0,17.299999999999997,C2
Woomera,11.4,26.5,0.0,SSE,52.0,SE,SSE,39.0,30.0,65.0,24.0,1019.8,1017.3,1.0,14.8,24.6,No,2016,11,23,2,-0.5000000000000004,0.8660254037844384,Spring,0.4,40.0,0.13333333333333333,15.1,C2
Nuriootpa,16.9,24.6,0.0,SSE,43.0,SSE,S,13.0,17.0,70.0,36.0,1013.6,1014.3,6.0,19.4,24.0,No,2009,2,8,6,0.8660254037844386,0.5000000000000001,Summer,0.0,29.0,0.0,7.700000000000003,C0
GoldCoast,19.7,28.8,0.4,SSE,41.0,SSE,SE,31.0,30.0,54.0,58.0,1018.8,1016.6,5.0,26.2,26.5,No,2016,1,18,0,0.49999999999999994,0.8660254037844387,Summer,0.0,57.0,0.0666666666666572,9.100000000000001,C1
Woomera,12.5,16.9,0.0,SE,35.0,SE,S,20.0,19.0,49.0,37.0,1028.2,1026.4,7.0,13.9,15.9,No,2015,4,27,0,0.8660254037844387,-0.49999999999999983,Autumn,0.0,45.0,0.0,4.399999999999999,C2
Adelaide,11.4,18.5,1.8,SW,37.0,SW,SW,19.0,19.0,58.0,51.0,1019.5,1020.2,5.0,14.4,18.1,Yes,2016,11,14,0,-0.5000000000000004,0.8660254037844384,Spring,16.4,61.0,10.133333333333328,7.1,C0
Nuriootpa,11.6,25.9,0.0,SSE,37.0,SW,S,13.0,17.0,93.0,32.0,1023.3,1022.7,7.0,16.1,24.9,No,2009,3,26,3,1.0,6.123233995736766e-17,Autumn,0.0,44.0,0.13333333333333333,14.299999999999999,C0
Bendigo,11.3,30.5,0.4,N,35.0,ESE,NNW,9.0,20.0,60.0,30.0,1012.5,1009.7,1.0,19.4,28.3,No,2011,11,7,0,-0.5000000000000004,0.8660254037844384,Spring,0.0,41.0,0.0,19.2,C0
Albany,10.7,14.0,0.8,W,39.0,SSE,SSE,22.0,6.0,74.0,74.0,1032.7,1033.4,8.0,12.3,13.0,No,2013,7,19,4,-0.4999999999999998,-0.8660254037844388,Winter,1.4,64.0,6.8666666666666645,3.3000000000000007,C1
Witchcliffe,11.6,17.3,18.4,WSW,61.0,W,W,22.0,17.0,69.0,57.0,1011.2,1013.5,5.0,15.5,16.2,Yes,2012,5,8,1,0.49999999999999994,-0.8660254037844387,Autumn,2.2,57.0,14.066666666666663,5.700000000000001,C1
Williamtown,9.4,19.3,0.0,WNW,48.0,WNW,W,31.0,19.0,55.0,39.0,1017.7,1015.5,5.0,13.4,18.8,No,2017,6,24,5,1.2246467991473532e-16,-1.0,Winter,0.2,71.0,0.13333333333333333,9.9,C1
Watsonia,7.0,13.9,0.0,N,50.0,NE,N,6.0,13.0,90.0,61.0,1017.1,1012.2,6.0,8.8,13.7,No,2015,7,10,4,-0.4999999999999998,-0.8660254037844388,Winter,0.0,66.0,1.1333333333333377,6.9,C0
Albury,17.4,26.6,5.2,SW,52.0,SE,N,9.0,9.0,68.0,93.0,1009.8,1007.9,8.0,22.1,20.3,Yes,2011,12,25,6,-2.4492935982947064e-16,1.0,Summer,0.0,34.0,0.19999999999999998,9.200000000000003,C0
Wollongong,9.3,13.7,0.0,S,44.0,SSW,S,31.0,31.0,74.0,53.0,1021.4,1021.1,8.0,11.5,13.6,No,2012,7,19,3,-0.4999999999999998,-0.8660254037844388,Winter,0.0,38.0,0.0,4.399999999999999,C1
CoffsHarbour,10.9,18.6,0.5,NNE,22.0,SW,NNE,0.0,15.0,82.0,48.0,1018.8,1017.8,6.0,12.6,17.9,No,2012,7,15,6,-0.4999999999999998,-0.8660254037844388,Winter,2.0,89.0,5.333333333333319,7.700000000000001,C1
Sale,13.1,23.5,4.8,W,39.0,WSW,WSW,22.0,35.0,87.0,74.0,1007.1,1006.3,6.0,18.8,20.8,Yes,2015,11,6,4,-0.5000000000000004,0.8660254037844384,Spring,0.4,93.0,1.733333333333331,10.4,C1
Tuggeranong,5.3,16.1,1.2,N,31.0,NNW,N,2.0,20.0,79.0,56.0,1019.8,1016.6,5.0,8.3,15.4,Yes,2016,9,11,6,-1.0,-1.8369701987210297e-16,Spring,16.6,74.0,5.533333333333322,10.8,C0
